id,name,description,price,priceRange,lat,lng,notes,category,googleMapsUrl,video
1,The Platinum Suites 2,Serviced apartment stay in central Kuala Lumpur near KLCC and Bukit Nanas station,,0,3.1587,101.7041,Use Grab for most journeys; good base for KLCC and Bukit Bintang.,Hotel,https://www.google.com/maps/search/The+Platinum+Suites+2+1020+Jalan+Sultan+Ismail+Kuala+Lumpur,
2,Pavilion Kuala Lumpur,Major upscale shopping mall in Bukit Bintang,RM0,0,3.1492,101.7135,Good starting point for Bukit Bintang and the Teddy Bear Café.,Shopping,https://www.google.com/maps/search/Pavilion+Kuala+Lumpur,
3,13DE MARZO Teddy Bear Café,Cute viral café inside Pavilion serving drinks with mini teddy bears,RM25+,1,3.1493,101.7136,Located at Level 3 of Pavilion; good morning stop before the area gets busier.,Coffee,https://www.google.com/maps/search/13DE+MARZO+Pavilion+Kuala+Lumpur,
4,Bukit Bintang,Busy shopping and entertainment district with malls cafés and nightlife,RM0,0,3.1478,101.7114,Best explored on foot after Pavilion.,Attraction,https://www.google.com/maps/search/Bukit+Bintang+Kuala+Lumpur,
5,Thean Hou Temple,Large hilltop Chinese temple with city views and ornate architecture,RM0,0,3.1219,101.6877,Best reached by Grab; allow time for photos and steps.,Attraction,https://www.google.com/maps/search/Thean+Hou+Temple+Kuala+Lumpur,
6,Sri Mahamariamman Temple,Historic Hindu temple at the edge of Chinatown,RM0,0,3.1433,101.6964,Quick cultural stop before Petaling Street.,Attraction,https://www.google.com/maps/search/Sri+MahaMariamman+Temple+Kuala+Lumpur,
7,Petaling Street,Famous Chinatown market street for food souvenirs and street atmosphere,RM0,0,3.1444,101.6976,Good for a short walk rather than long shopping.,Attraction,https://www.google.com/maps/search/Petaling+Street+Kuala+Lumpur,
8,Chinatown Kuala Lumpur,Historic district known for markets temples street food and heritage lanes,RM0,0,3.1450,101.6970,Best paired with Petaling Street Central Market and Kwai Chai Hong.,Attraction,https://www.google.com/maps/search/Chinatown+Kuala+Lumpur,
9,Central Market Kuala Lumpur,Heritage market building with crafts snacks and air-conditioned break spots,RM0,0,3.1455,101.6958,Useful stop for coffee and cooling down.,Attraction,https://www.google.com/maps/search/Central+Market+Kuala+Lumpur,
10,Jamboo Concept Store,Stylish healthy café and concept spot near Chinatown,RM25+,1,3.1434,101.6969,Good for a short drinks or brunch stop.,Coffee,https://www.google.com/maps/search/Jamboo+Concept+Store+Kuala+Lumpur,
11,Kwai Chai Hong,Restored heritage lane with murals cafés and photo spots,RM0,0,3.1448,101.6986,Works well as a short late-afternoon stop.,Attraction,https://www.google.com/maps/search/Kwai+Chai+Hong+Kuala+Lumpur,
12,Petronas Twin Towers,Iconic twin skyscrapers with observation deck and skybridge,RM98,2,3.1579,101.7116,Book observation deck tickets online in advance.,Landmark,https://www.google.com/maps/search/Petronas+Twin+Towers+Kuala+Lumpur,
13,Suria KLCC,Large mall directly below the Petronas Towers with cafés and shops,RM0,0,3.1578,101.7123,Useful for coffee break before or after the towers.,Shopping,https://www.google.com/maps/search/Suria+KLCC+Kuala+Lumpur,
14,KLCC Park,Central landscaped park with skyline views beside the Petronas Towers,RM0,0,3.1540,101.7134,Best around late afternoon or evening.,Garden,https://www.google.com/maps/search/KLCC+Park+Kuala+Lumpur,
15,Batu Caves,Major limestone cave complex and Hindu pilgrimage site north of the city,RM0,0,3.2379,101.6840,Go earlier if possible to avoid stronger heat and crowds.,Attraction,https://www.google.com/maps/search/Batu+Caves+Kuala+Lumpur,
16,Subang Parade,Classic suburban shopping mall in Subang Jaya,RM0,0,3.0737,101.5853,Main reason to come here is Chan Rak BBQ and a relaxed mall stop.,Shopping,https://www.google.com/maps/search/Subang+Parade+Subang+Jaya,
17,Chan Rak BBQ,Thai-style BBQ and hotpot restaurant in Subang Parade,RM42++,2,3.0737,101.5853,Located on the ground floor of Subang Parade; good lunch stop.,Restaurant,https://www.google.com/maps/search/Chan+Rak+BBQ+Subang+Parade,
18,Next Door Dessert,Dessert shop,RM15+,1,3.0902555869361894, 101.6876770356515,Good for a quick sweet treat after Chan Rak BBQ.,Food,https://www.google.com/maps/place/Next+Door+Dessert/@3.090058,101.6850345,1150m/data=!3m2!1e3!4b1!4m6!3m5!1s0x31cc4b5d00ce901f:0x  abff53b0cfff62b8!8m2!3d3.0900526!4d101.6876094!16s%2Fg%2F11yqypt9r7?entry=ttu&g_ep=EgoyMDI2MDMxMS4wIKXMDSoASAFQAw%3D%3D,
