id,name,description,price,priceRange,lat,lng,notes,category,googleMapsUrl,video
1,Chinatown,"Historic district with food streets, temples and easy evening walks",Free,0,1.2836,103.844,"Good for dinner, desserts and low-effort wandering.",Neighborhood,https://www.google.com/maps/search/Chinatown+Singapore,
2,Maxwell Food Centre,Famous hawker centre known for chicken rice and classic local stalls,Free entry; meals ~S$5-15,1,1.2804,103.8448,Best used for a casual first-night dinner.,Hawker Centre,https://www.google.com/maps/search/Maxwell+Food+Centre+Singapore,
3,Merlion Park,Iconic Singapore photo stop on the Marina Bay waterfront,Free,0,1.2868,103.8545,Quick stop; best paired with a Marina Bay walk.,Landmark,https://www.google.com/maps/search/Merlion+Park+Singapore,
4,Marina Bay,Iconic waterfront skyline walk,Free,0,1.2847,103.861,Best at sunset/night; easy loop with MBS and Gardens.,Landmark,https://www.google.com/maps/search/Marina+Bay+Singapore,
5,Helix Bridge,Scenic pedestrian bridge linking the bayfront highlights,Free,0,1.2866,103.8603,Short photo stop between Merlion/Marina Bay and MBS.,Bridge,https://www.google.com/maps/search/Helix+Bridge+Singapore,
6,The Shoppes at Marina Bay Sands,"Luxury mall with dining, AC break and easy access to Gardens",Free entry; meals/shopping extra,2,1.2848,103.8591,Good lunch stop before heading to Gardens by the Bay.,Shopping,https://www.google.com/maps/search/The+Shoppes+at+Marina+Bay+Sands+Singapore,
7,Gardens by the Bay,Signature garden attraction with Supertrees and waterfront paths,Free outdoor areas; paid conservatories,1,1.2816,103.8636,Works best from late afternoon into evening.,Attraction,https://www.google.com/maps/search/Gardens+by+the+Bay+Singapore,
8,Telok Ayer,Compact dining and bar area near Chinatown for an easy evening,Free entry; meals/drinks extra,2,1.2812,103.8489,Good backup dinner area after spa day.,Neighborhood,https://www.google.com/maps/search/Telok+Ayer+Singapore,
9,Hua Yu Wee Seafood Restaurant,Heritage seafood restaurant known for saucy chilli crab,~S$30-80 pp,3,1.3146801,103.9414907,Heritage seafood; saucy chilli crab.,Restaurant,"https://www.google.com/maps/place/Hua+Yu+Wee+Seafood+Restaurant/@1.3146801,103.9389104,17z/data=!3m1!4b1!4m6!3m5!1s0x31da22c64374f7d3:0xf2ddfbd253f49fe3!8m2!3d1.3146801!4d103.9414907!16s%2Fg%2F1wcx9m46?entry=ttu&g_ep=EgoyMDI2MDIxNi4wIKXMDSoASAFQAw%3D%3D",https://www.tiktok.com/@shaunbirley/video/7598301251930967304
10,New Station Snack Bar,Old-school local eatery known for mama chicken and comfort food,~S$10-20 pp,1,1.3074307,103.8338377,Try the mama chicken.,Restaurant,"https://www.google.com/maps/place/New+Station+Snack+Bar/@1.3074307,103.8312574,17z/data=!3m2!4b1!5s0x31da1992a51ec41d:0x29deac69ca4f211c!4m6!3m5!1s0x31da1992a6c0228d:0xc009c39654467db1!8m2!3d1.3074307!4d103.8338377!16s%2Fg%2F1tg9kn60?entry=ttu&g_ep=EgoyMDI2MDIxNi4wIKXMDSoASAFQAw%3D%3D",https://www.tiktok.com/@shaunbirley/video/7598301251930967304
11,Tian Tian Hainanese Chicken Rice,Famous Maxwell stall for classic Hainanese chicken rice,~S$5-10 pp,1,1.2804528,103.8447987,Very popular chicken rice stall in Maxwell.,Restaurant,"https://www.google.com/maps/place/Tian+Tian+Hainanese+Chicken+Rice/@1.2804528,103.8422184,17z/data=!3m2!4b1!5s0x31da190c599ca241:0xd9ea0b055fd569f8!4m6!3m5!1s0x31da190d52e090d9:0xda3a74c41269425d!8m2!3d1.2804528!4d103.8447987!16s%2Fg%2F1wj_3krw?entry=ttu&g_ep=EgoyMDI2MDIxNi4wIKXMDSoASAFQAw%3D%3D",https://www.tiktok.com/@shaunbirley/video/7598301251930967304
