id,name,description,price,priceRange,lat,lng,notes,category,googleMapsUrl,video
1,Jack's Coffee,Popular coffee stop in central Uluwatu,,0,-8.8138956,115.1101024,,Drinks,https://www.google.com/maps/search/Jack%27s+Coffee+Uluwatu,
2,Balangan Beach,Scenic cliff-backed beach known for surf views,,0,-8.7920478,115.1234172,,Sights,https://www.google.com/maps/search/Balangan+Beach+Bali,
3,Bambu,Relaxed restaurant and café in Uluwatu,,0,-8.8115051,115.1138813,,Food,https://www.google.com/maps/search/Bambu+Cafe+Restaurant+Uluwatu,
4,Tegallalang Rice Terrace,Iconic rice terraces with jungle views and swings,,0,-8.4347383,115.2790397,Best paired with swing activity.,Sights,https://www.google.com/maps/search/Tegallalang+Rice+Terrace+Bali,
5,Kanto Lampo Waterfall,Popular stepped waterfall near Ubud,,0,-8.5325074,115.3328613,Can get busy later in the day.,Sights,https://www.google.com/maps/search/Kanto+Lampo+Waterfall+Bali,
6,Tropical Temptation,Clifftop adult-only beach club near Melasti,,0,-8.8481485,115.1603641,Not in the main Uluwatu centre.,Sights,https://www.google.com/maps/search/Tropical+Temptation+Bali,
7,Taman Dedari,Riverside restaurant and sunset dinner spot near Ubud,,0,-8.4751788,115.2450829,Good for late afternoon into sunset.,Food,https://www.google.com/maps/search/Taman+Dedari+Ubud,
8,Cretya Ubud,Jungle day-club style restaurant with pools and rice terrace views,,0,-8.4399620,115.2809820,Restaurant with a pool.,Food,https://www.google.com/maps/search/Cretya+Ubud,
9,BAKED. Uluwatu,Stylish bakery and coffee stop in Uluwatu,,0,-8.8165520,115.0928995,,Drinks,https://www.google.com/maps/search/BAKED.+Uluwatu,
10,Fold Ubud,Modern café and brunch spot in Ubud,,0,-8.5189570,115.2631950,Best croissant cereal.,Food,https://www.google.com/maps/search/Fold+Ubud,
11,Melasti Beach,Wide white-sand beach with dramatic limestone cliffs,,0,-8.8482935,115.1631697,Best in the morning before beach clubs.,Sights,https://www.google.com/maps/search/Melasti+Beach+Bali,
12,Batuan Temple,Traditional Balinese temple complex near Ubud,,0,-8.5822580,115.2757489,,Sights,https://www.google.com/maps/search/Batuan+Temple+Bali,
13,Palmilla Bali Beach Club,Beach club near Melasti with pools and sea views,,0,-8.8478506,115.1578120,,Sights,https://www.google.com/maps/search/Palmilla+Bali+Beach+Club,
14,AVLI modern greek,Modern Greek restaurant in Uluwatu,,0,-8.8165625,115.0958125,,Food,https://www.google.com/maps/search/AVLI+modern+greek+Uluwatu,
15,Bali Bird Park,Large bird park and zoo-style attraction near Ubud,,0,-8.5996431,115.2520569,,Sights,https://www.google.com/maps/search/Bali+Bird+Park,
16,Padang Padang Beach,Small famous beach in a cove below the cliffs,,0,-8.8111377,115.1037658,,Sights,https://www.google.com/maps/search/Padang+Padang+Beach+Bali,
17,Suluban Beach,Cliff-access surf beach near Blue Point in Uluwatu,,0,-8.8160171,115.0882875,Access includes steps and rock passages.,Sights,https://www.google.com/maps/search/Suluban+Beach+Bali,
18,Milk & Madu Uluwatu,Popular brunch and coffee place in Uluwatu,,0,-8.8130910,115.1077342,,Drinks,https://www.google.com/maps/search/Milk+%26+Madu+Uluwatu,
19,Lolita's Cantina Mexicana,Mexican restaurant good for sunset drinks and dinner,,0,-8.8147596,115.0886939,Sunset spot.,Food,https://www.google.com/maps/search/Lolitas+Cantina+Mexicana+Uluwatu,
20,The Cashew Tree,Laid-back healthy café and restaurant near Bingin,,0,-8.8069028,115.1170548,,Food,https://www.google.com/maps/search/The+Cashew+Tree+Uluwatu,
21,Hedonist Space,Stylish dinner and lounge venue in the south peninsula,,0,-8.8204446,115.1506066,Best for dinner.,Food,https://www.google.com/maps/search/Hedonist+Space+Bali,
22,MASONRY. Restaurant Uluwatu,Trendy slightly upscale restaurant in Uluwatu,,0,-8.8165104,115.0925746,A bit posh.,Food,https://www.google.com/maps/search/Masonry+Restaurant+Uluwatu,
23,Sinamon Bali Uluwatu,Dessert and pastry café in Uluwatu,,0,-8.8184876,115.1154550,Dessert stop.,Drinks,https://www.google.com/maps/search/Sinamon+Bali+Uluwatu,
24,Single Fin Bali,Iconic cliffside restaurant and bar above Suluban,,0,-8.8148568,115.0888711,Good for sunset or drinks.,Food,https://www.google.com/maps/search/Single+Fin+Bali,
25,Koral,Underwater-style aquarium restaurant in Nusa Dua,,0,-8.8295942,115.2172021,Underwater restaurant.,Food,https://www.google.com/maps/search/Koral+Bali,
